,n_static_nodes,n_dynamic_nodes,n_jobs,mean_time,std_time,upper_bound,lower_bound
0,1,1,"(1, 2, 4, 8)","(0.43806774000113363, 0.44317552000138677, 0.4365119699999923, 0.4414800300030038)","(0.00462097071045205, 0.0013379489951258585, 0.006732951535103232, 0.004280059780427196)",0.4,0.4
1,2,1,"(1, 2, 4, 8)","(0.5444640299996536, 0.44085804999776884, 0.4417332400007581, 0.44271323999855666)","(0.008956751945829842, 0.004620995398778246, 0.006445695459142021, 0.0034098687528835037)",0.5,0.4
2,3,1,"(1, 2, 4, 8)","(0.6566370000015013, 0.549587090001296, 0.4401968099999067, 0.43907392000110124)","(0.0036193673196025376, 0.001084258521742184, 0.00381497502551593, 0.0020076585800870156)",0.6000000000000001,0.4
3,4,1,"(1, 2, 4, 8)","(0.7701662799998303, 0.5491348099974858, 0.43957855999979073, 0.4409272399992915)","(0.003269637322978925, 0.0009916909573738277, 0.005253404272451373, 0.0051547717627485855)",0.7000000000000001,0.4
4,5,1,"(1, 2, 4, 8)","(0.8755068799997389, 0.6549071900015406, 0.5458941599987156, 0.4432251400008681)","(0.006409285251242548, 0.005011862384127568, 0.003738471765110987, 0.007899006490312796)",0.8,0.4
5,6,1,"(1, 2, 4, 8)","(0.9870037200002116, 0.6580750499997521, 0.5490956200017536, 0.43822313000055146)","(0.005030663708835968, 0.0022243421047741566, 0.0026936928206597157, 0.0035992343767804777)",0.9,0.4
6,7,1,"(1, 2, 4, 8)","(1.0886577399993258, 0.7696058199995605, 0.552727810000215, 0.4526435499981744)","(0.011290398546655023, 0.00723723963264143, 0.003888931331592232, 0.007540689267576076)",1.0,0.4
7,8,1,"(1, 2, 4, 8)","(1.1944990599993617, 0.7665446299994073, 0.5525066400012293, 0.4490323200014245)","(0.01673565551951533, 0.008161215409507925, 0.013019139041214031, 0.010866330166662483)",1.1,0.4
8,1,1,"(1, 2, 4, 8)","(0.437283869998646, 0.43894186000034097, 0.4389775300012843, 0.42880235999982685)","(0.010634084728563493, 0.0061912834593561335, 0.005971287886154638, 0.006826571446709066)",0.4,0.4
9,1,2,"(1, 2, 4, 8)","(0.5428318700011004, 0.43259629999811294, 0.4356307099988044, 0.43737946999826816)","(0.005811209846258151, 0.011101317899098453, 0.008964324905175545, 0.004888235690800976)",0.5,0.4
10,1,3,"(1, 2, 4, 8)","(0.6567207399995822, 0.5469842500002414, 0.43695149999985006, 0.43791350000028617)","(0.005375642940355847, 0.00592486142411903, 0.004866241522347494, 0.0033980592106449574)",0.6000000000000001,0.4
11,1,4,"(1, 2, 4, 8)","(0.767130729999917, 0.5463309100006881, 0.4394427600011113, 0.4396636800003762)","(0.009132543708196704, 0.006639712627978974, 0.0058460809175865935, 0.0017754666506511)",0.7000000000000001,0.4
12,1,5,"(1, 2, 4, 8)","(0.878925299999537, 0.6587899700003618, 0.5488405299998703, 0.43988155000115514)","(0.0019526761386167379, 0.00035598418835327276, 0.0004322982538199599, 0.0017266128099305575)",0.8,0.4
13,1,6,"(1, 2, 4, 8)","(0.9887401099986164, 0.6591311600008339, 0.5468176499991386, 0.43548155000025873)","(0.0018322004780433226, 0.0030918273333651954, 0.0037717216393989336, 0.005770026544712309)",0.9,0.4
14,1,7,"(1, 2, 4, 8)","(1.0932358900012331, 0.7581931400003669, 0.5518774300013319, 0.4361094800005958)","(0.014153212826679504, 0.011388766241139778, 0.011700070504987968, 0.010287438007874385)",1.0,0.4
15,1,8,"(1, 2, 4, 8)","(1.1902079900006357, 0.7596057599992492, 0.5511889699999302, 0.43400440999976125)","(0.025729463309626967, 0.010820307220049135, 0.010992998023841153, 0.005660838152361488)",1.1,0.4
16,1,1,"(1, 4, 8, 16)","(0.4271991000001435, 0.4277557000001252, 0.43871847000045816, 0.4386435899999924)","(0.009898233928867805, 0.012024223593941516, 0.004680876786614638, 0.005190451873357349)",0.4,0.4
17,2,2,"(1, 4, 8, 16)","(0.6444443300002604, 0.4499972700010403, 0.44238741000153825, 0.4448541599995224)","(0.01976837163346519, 0.0102451431702935, 0.005292146095675441, 0.004964731549832042)",0.6000000000000001,0.4
18,3,3,"(1, 4, 8, 16)","(0.8730966600007377, 0.6636747999997169, 0.4398023900001135, 0.44017829000076747)","(0.007860334452636704, 0.009325018343117046, 0.004601385128906748, 0.004471403687931777)",0.8,0.4
19,4,4,"(1, 4, 8, 16)","(1.0949940899998183, 0.6622522800003935, 0.44241762999809, 0.4428767000004882)","(0.0114536330630016, 0.009392180095668199, 0.007914633654726841, 0.006539056497168611)",1.0,0.4
20,5,5,"(1, 4, 8, 16)","(1.3175426399982826, 0.8825494000004255, 0.6649640699994052, 0.44300377999825286)","(0.009341176796649914, 0.01248292494370427, 0.007389137715001554, 0.0077510942794364315)",1.2000000000000002,0.4
21,6,6,"(1, 4, 8, 16)","(1.5293406700002379, 0.8819319399990491, 0.6605152399999497, 0.4549862200015923)","(0.013929044295928818, 0.006573460710605988, 0.014127978316093512, 0.01093262166136487)",1.4,0.4
22,7,7,"(1, 4, 8, 16)","(1.727771730000677, 1.092250130001048, 0.6694014199994853, 0.4518942499998957)","(0.02863854922688989, 0.012701780412962813, 0.012355452980947052, 0.011036706103149323)",1.6,0.4
23,8,8,"(1, 4, 8, 16)","(1.946982549999666, 1.098992709999584, 0.6685690299993439, 0.4412502900013351)","(0.022371553281246445, 0.010255799544161276, 0.013667442950501965, 0.008105603714065579)",1.8,0.4
